56684.12208 i 16.245 0.022 LT
56685.08659 i 16.237 0.018 LT
56686.07649 i 16.199 0.020 LT
56689.38424 i 16.211 0.036 LCOGT
56692.20445 i 16.219 0.097 LCOGT
56694.00872 i 16.202 0.021 LT
56695.05687 i 16.195 0.022 LT
56696.15155 i 16.189 0.023 LT
56696.17710 i 16.217 0.047 LCOGT
56697.01491 i 16.192 0.026 LT
56698.03063 i 16.200 0.021 LT
56698.97856 i 16.201 0.021 LT
56699.95267 i 16.196 0.024 LT
56700.97002 i 16.203 0.025 LT
56701.93398 i 16.206 0.025 LT
56710.02297 i 16.283 0.021 LT
56711.04013 i 16.275 0.021 LT
56712.15330 i 16.328 0.025 LT
56713.07431 i 16.327 0.021 LT
56715.01944 i 16.352 0.021 LT
56721.88220 i 16.420 0.021 LT
56723.86644 i 16.427 0.023 LT
56728.01904 i 16.487 0.024 LT
56731.89681 i 16.514 0.026 LT
56733.90752 i 16.493 0.025 LT
56735.92014 i 16.508 0.025 LT
56739.98834 i 16.520 0.022 LT
56741.89803 i 16.590 0.022 LT
56743.98480 i 16.570 0.023 LT
56751.94053 i 16.565 0.025 LT
56753.94272 i 16.577 0.024 LT
56755.04456 i 16.448 0.024 LT
56761.90579 i 16.618 0.026 LT
56762.89948 i 16.597 0.024 LT
56768.92704 i 16.609 0.023 LT
56770.00838 i 16.614 0.026 LT
56770.95238 i 16.608 0.021 LT
56684.12117 r 16.386 0.020 LT
56685.08567 r 16.355 0.021 LT
56686.07558 r 16.340 0.019 LT
56689.38237 r 16.340 0.030 LCOGT
56692.20258 r 16.374 0.045 LCOGT
56694.00780 r 16.369 0.022 LT
56695.05595 r 16.369 0.020 LT
56696.15063 r 16.371 0.020 LT
56696.17523 r 16.362 0.034 LCOGT
56697.01400 r 16.362 0.023 LT
56698.02972 r 16.345 0.021 LT
56698.97764 r 16.401 0.022 LT
56699.95175 r 16.374 0.021 LT
56700.96910 r 16.412 0.027 LT
56701.93306 r 16.429 0.022 LT
56710.02204 r 16.530 0.021 LT
56711.03922 r 16.539 0.020 LT
56712.15239 r 16.579 0.018 LT
56713.07339 r 16.574 0.020 LT
56715.01852 r 16.635 0.020 LT
56721.88128 r 16.708 0.021 LT
56723.86553 r 16.708 0.021 LT
56728.01812 r 16.762 0.024 LT
56731.89589 r 16.821 0.027 LT
56733.90660 r 16.808 0.024 LT
56735.91922 r 16.830 0.022 LT
56739.98740 r 16.865 0.021 LT
56741.89711 r 16.876 0.022 LT
56743.98387 r 16.839 0.022 LT
56751.93961 r 16.879 0.022 LT
56753.94180 r 16.883 0.022 LT
56755.04360 r 16.907 0.023 LT
56761.90486 r 16.886 0.029 LT
56762.89856 r 16.936 0.026 LT
56768.92612 r 16.930 0.020 LT
56770.00746 r 16.947 0.021 LT
56770.95146 r 16.943 0.022 LT
56771.97555 r 16.968 0.020 LT
56684.12022 g 16.533 0.023 LT
56684.33405 g 16.528 0.036 LCOGT
56685.08472 g 16.516 0.023 LT
56686.07463 g 16.509 0.021 LT
56689.38049 g 16.503 0.027 LCOGT
56692.20070 g 16.595 0.036 LCOGT
56694.00685 g 16.590 0.022 LT
56695.05500 g 16.594 0.022 LT
56696.14969 g 16.575 0.023 LT
56696.17336 g 16.559 0.041 LT
56697.01305 g 16.597 0.025 LT
56698.02878 g 16.617 0.020 LT
56698.97669 g 16.602 0.022 LT
56699.95080 g 16.633 0.029 LT
56700.96816 g 16.638 0.022 LT
56701.93212 g 16.636 0.041 LT
56710.02110 g 16.837 0.022 LT
56711.03827 g 16.844 0.022 LT
56712.15143 g 16.885 0.023 LT
56713.07244 g 16.897 0.021 LT
56715.01756 g 16.944 0.022 LT
56721.88033 g 17.077 0.022 LT
56723.86458 g 17.104 0.024 LT
56728.01718 g 17.157 0.025 LT
56731.89495 g 17.187 0.037 LT
56733.90565 g 17.233 0.029 LT
56735.91827 g 17.266 0.023 LT
56739.98646 g 17.296 0.023 LT
56741.89617 g 17.353 0.024 LT
56743.98291 g 17.348 0.025 LT
56751.93865 g 17.378 0.024 LT
56753.94086 g 17.379 0.024 LT
56755.04266 g 17.402 0.025 LT
56761.90391 g 17.347 0.035 LT
56762.89761 g 17.436 0.033 LT
56768.92517 g 17.452 0.025 LT
56770.00652 g 17.445 0.025 LT
56770.95051 g 17.442 0.022 LT
56771.97461 g 17.468 0.022 LT
56774.95044 g 17.466 0.021 LT
56778.95189 g 17.470 0.021 LT
56781.91865 g 17.481 0.022 LT
56784.92683 g 17.487 0.024 LT
56789.92206 g 17.498 0.029 LT
56792.93450 g 17.495 0.025 LT
56796.90488 g 17.522 0.022 LT
56799.89040 g 17.500 0.022 LT
56802.96398 g 17.525 0.023 LT
